airport,time_zone,month,month_name,lower_limit_miles,higher_limit_miles,lower_only_hours,share_of_airport_target_percent
KAST,America/Los_Angeles,1,Jan,0.750000,1.000000,2.666667,12.668250
KAST,America/Los_Angeles,2,Feb,0.750000,1.000000,2.500000,11.876485
KAST,America/Los_Angeles,3,Mar,0.750000,1.000000,3.066667,14.568488
KAST,America/Los_Angeles,4,Apr,0.750000,1.000000,0.183333,0.870942
KAST,America/Los_Angeles,5,May,0.750000,1.000000,0.150000,0.712589
KAST,America/Los_Angeles,6,Jun,0.750000,1.000000,0.200000,0.950119
KAST,America/Los_Angeles,7,Jul,0.750000,1.000000,2.933333,13.935075
KAST,America/Los_Angeles,8,Aug,0.750000,1.000000,1.066667,5.067300
KAST,America/Los_Angeles,9,Sep,0.750000,1.000000,1.283333,6.096595
KAST,America/Los_Angeles,10,Oct,0.750000,1.000000,1.450000,6.888361
KAST,America/Los_Angeles,11,Nov,0.750000,1.000000,3.316667,15.756136
KAST,America/Los_Angeles,12,Dec,0.750000,1.000000,2.233333,10.609660
KCEC,America/Los_Angeles,1,Jan,0.750000,1.000000,2.200000,2.214394
KCEC,America/Los_Angeles,2,Feb,0.750000,1.000000,4.216667,4.244254
KCEC,America/Los_Angeles,3,Mar,0.750000,1.000000,4.650000,4.680423
KCEC,America/Los_Angeles,4,Apr,0.750000,1.000000,2.316667,2.331824
KCEC,America/Los_Angeles,5,May,0.750000,1.000000,5.366667,5.401778
KCEC,America/Los_Angeles,6,Jun,0.750000,1.000000,21.433333,21.573561
KCEC,America/Los_Angeles,7,Jul,0.750000,1.000000,10.183333,10.249958
KCEC,America/Los_Angeles,8,Aug,0.750000,1.000000,21.883333,22.026506
KCEC,America/Los_Angeles,9,Sep,0.750000,1.000000,7.316667,7.364536
KCEC,America/Los_Angeles,10,Oct,0.750000,1.000000,7.816667,7.867807
KCEC,America/Los_Angeles,11,Nov,0.750000,1.000000,3.200000,3.220936
KCEC,America/Los_Angeles,12,Dec,0.750000,1.000000,8.766667,8.824023
KHQM,America/Los_Angeles,1,Jan,0.500000,1.250000,6.283333,7.815091
KHQM,America/Los_Angeles,2,Feb,0.500000,1.250000,6.783333,8.436982
KHQM,America/Los_Angeles,3,Mar,0.500000,1.250000,13.850000,17.226368
KHQM,America/Los_Angeles,4,Apr,0.500000,1.250000,1.800000,2.238806
KHQM,America/Los_Angeles,5,May,0.500000,1.250000,0.000000,0.000000
KHQM,America/Los_Angeles,6,Jun,0.500000,1.250000,1.150000,1.430348
KHQM,America/Los_Angeles,7,Jul,0.500000,1.250000,6.850000,8.519900
KHQM,America/Los_Angeles,8,Aug,0.500000,1.250000,4.350000,5.410448
KHQM,America/Los_Angeles,9,Sep,0.500000,1.250000,15.100000,18.781095
KHQM,America/Los_Angeles,10,Oct,0.500000,1.250000,6.083333,7.566335
KHQM,America/Los_Angeles,11,Nov,0.500000,1.250000,7.900000,9.825871
KHQM,America/Los_Angeles,12,Dec,0.500000,1.250000,10.250000,12.748756
KGRI,America/Chicago,1,Jan,0.500000,0.750000,1.650000,6.149068
KGRI,America/Chicago,2,Feb,0.500000,0.750000,0.500000,1.863354
KGRI,America/Chicago,3,Mar,0.500000,0.750000,7.250000,27.018634
KGRI,America/Chicago,4,Apr,0.500000,0.750000,0.000000,0.000000
KGRI,America/Chicago,5,May,0.500000,0.750000,0.983333,3.664596
KGRI,America/Chicago,6,Jun,0.500000,0.750000,0.450000,1.677019
KGRI,America/Chicago,7,Jul,0.500000,0.750000,1.600000,5.962733
KGRI,America/Chicago,8,Aug,0.500000,0.750000,0.683333,2.546584
KGRI,America/Chicago,9,Sep,0.500000,0.750000,0.216667,0.807453
KGRI,America/Chicago,10,Oct,0.500000,0.750000,3.800000,14.161491
KGRI,America/Chicago,11,Nov,0.500000,0.750000,3.666667,13.664596
KGRI,America/Chicago,12,Dec,0.500000,0.750000,6.033333,22.484472
